Unnamed: 0,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
86,Ilo,6211748,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714879
87,Ilo,6507870,527293744,34505648,True,52,False,0.971153846153846,1.0,1780714879
88,Ilo,8454289,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714879
89,Ilo,5489165,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714879
90,Upeg,6841376,527293744,935346517,False,1000,True,0.3846153846153846,0.8181818181818182,1780714904
91,Upeg,7180258,527293744,935346517,False,1000,True,0.4038461538461538,0.8181818181818182,1780714904
92,Upeg,1925286,527293744,935346517,False,1000,True,0.3653846153846153,0.7272727272727273,1780714904
93,Upeg,1838793,527293744,935346517,False,1000,True,0.3846153846153846,0.9090909090909092,1780714904
94,Upeg,8791432,527293744,935346517,False,1000,True,0.3269230769230769,0.4545454545454545,1780714904
95,Upeg,7295608,527293744,935346517,False,1000,True,0.4038461538461538,0.9090909090909092,1780714904
96,Upeg,6211748,527293744,935346517,False,1000,True,0.3461538461538461,0.7272727272727273,1780714904
97,Upeg,6507870,527293744,935346517,False,1000,True,0.3846153846153846,0.8181818181818182,1780714904
98,Upeg,8454289,527293744,935346517,False,1000,True,0.3846153846153846,0.9090909090909092,1780714904
99,Upeg,5489165,527293744,935346517,False,1000,True,0.3653846153846153,0.8181818181818182,1780714904
0,Douvo,6841376,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
1,Douvo,7180258,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
2,Douvo,1925286,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
3,Douvo,1838793,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
4,Douvo,8791432,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
5,Douvo,7295608,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
6,Douvo,6211748,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
7,Douvo,6507870,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
8,Douvo,8454289,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
9,Douvo,5489165,527293744,556776905,True,1,False,0.1346153846153846,0.125,1780714782
10,Acu,6841376,527293744,37852651,False,1000,True,0.3846153846153846,1.0,1780714814
11,Acu,7180258,527293744,37852651,False,1000,True,0.1538461538461538,1.0,1780714814
12,Acu,1925286,527293744,37852651,False,1000,True,0.2884615384615384,0.8333333333333334,1780714814
13,Acu,1838793,527293744,37852651,False,1000,True,0.2115384615384615,1.0,1780714814
14,Acu,8791432,527293744,37852651,False,1000,True,0.3653846153846153,1.0,1780714814
15,Acu,7295608,527293744,37852651,False,1000,True,0.25,0.8333333333333334,1780714814
16,Acu,6211748,527293744,37852651,False,1000,True,0.2115384615384615,1.0,1780714814
17,Acu,6507870,527293744,37852651,False,1000,True,0.3461538461538461,1.0,1780714814
